82,1.0,11.0,5.0,24.0,8.0,5.0,5.0,5.0,5.0,5.0,15.0,5.0,1.0,0.0,0.0,29.0,29.0,19.0,5.0,0.0,1.0,1.0,1.0,6.0,9.0,9.0,10.0,10.0,0.0,0.0,0.0,11.0,15.0,5.0,6.0,11.0,10.0,10.0,15.0,24.0,24.0,0.0,6.0,1.0,5.0,2.0,6.0,5.0,5.0,16.0,0.0,2.0,1.0,29.0,24.0,29.0,5.0,12.0,1.0,0.0,1.0,5.0,5.0,10.0,12.0,0.0,0.0,0.0,5.0,5.0,5.0,11.0,2.0,10.0,6.0,10.0,24.0,29.0,20.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,11.0,5.0,10.0,0.0,0.0,0.0,5.0,29.0,5.0,5.0,1.0,1.0,0.0,16.0,1.0,40.0,10.0,10.0,0.0,0.0,0.0,10.0,11.0,11.0,16.0,10.0,10.0,24.0,4.0,8.0,8.0,8.0,0.0,1.0,2.0,3.0,2.0,29.0,1.0,0.0,0.0,22.0,22.0,22.0,5.0,5.0,5.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,13.0,3.0,0.0,12.0,12.0,2.0,16.0,16.0,37.0,36.0,36.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,7.0,16.0,7.0,0.0,10.0,5.0,0.0,0.0,2.0,5.0,4.0,12.0,5.0,16.0,16.0,11.0,36.0,36.0,44.0,0.0,5.0,0.0,11.0,16.0,11.0,0.0,1.0,0.0,7.0,26.0,1.0,0.0,1.0,1.0,3.0,24.0,8.0,0.0,8.0,5.0,1.0,0.0,3.0,3.0,1.0,0.0,12.0,15.0,15.0,11.0,25.0,36.0,0.0,0.0,11.0,6.0,1.0,0.0,0.0,7.0,7.0,6.0,2.0,0.0,0.0,13.0,9.0,5.0,5.0,12.0,0.0,0.0,18.0,3.0,20.0,12.0,12.0,5.0,16.0,36.0,36.0,10.0,7.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,10.0,10.0,37.0,37.0,15.0,15.0,16.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,12.0
83,1.0,11.0,5.0,24.0,8.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,6.0,24.0,29.0,10.0,10.0,4.0,1.0,1.0,9.0,10.0,9.0,10.0,18.0,9.0,1.0,13.0,5.0,5.0,5.0,11.0,0.0,22.0,5.0,14.0,24.0,1.0,24.0,8.0,1.0,5.0,5.0,0.0,5.0,5.0,10.0,0.0,1.0,0.0,29.0,29.0,12.0,5.0,5.0,0.0,1.0,14.0,9.0,9.0,15.0,9.0,1.0,0.0,0.0,31.0,5.0,5.0,11.0,11.0,10.0,10.0,9.0,24.0,24.0,29.0,8.0,8.0,1.0,15.0,15.0,1.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,10.0,29.0,0.0,5.0,6.0,6.0,1.0,9.0,9.0,16.0,10.0,10.0,0.0,4.0,10.0,10.0,26.0,11.0,11.0,15.0,15.0,4.0,9.0,8.0,10.0,3.0,0.0,0.0,6.0,2.0,7.0,29.0,29.0,0.0,0.0,0.0,1.0,22.0,5.0,1.0,0.0,12.0,5.0,5.0,5.0,5.0,0.0,5.0,10.0,5.0,5.0,5.0,0.0,1.0,0.0,3.0,3.0,3.0,5.0,4.0,6.0,0.0,16.0,37.0,36.0,36.0,0.0,0.0,0.0,11.0,11.0,0.0,7.0,10.0,7.0,7.0,7.0,5.0,5.0,5.0,0.0,0.0,2.0,3.0,9.0,0.0,12.0,16.0,16.0,16.0,30.0,36.0,36.0,0.0,5.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,7.0,7.0,14.0,1.0,4.0,16.0,6.0,18.0,8.0,5.0,5.0,5.0,6.0,12.0,3.0,3.0,10.0,12.0,12.0,16.0,16.0,15.0,6.0,36.0,0.0,0.0,5.0,1.0,30.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,9.0,8.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,15.0,17.0,16.0,15.0,31.0,36.0,1.0,0.0,0.0,11.0,11.0,3.0,0.0,0.0,7.0,7.0,1.0,37.0,37.0,0.0,15.0,15.0,5.0,5.0,16.0,0.0,0.0,3.0,3.0,5.0
84,1.0,11.0,1.0,24.0,8.0,5.0,5.0,0.0,10.0,5.0,5.0,11.0,0.0,1.0,0.0,29.0,5.0,29.0,5.0,20.0,1.0,1.0,2.0,9.0,9.0,20.0,6.0,10.0,0.0,0.0,0.0,5.0,5.0,10.0,11.0,11.0,22.0,1.0,1.0,24.0,24.0,24.0,14.0,0.0,5.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,7.0,4.0,29.0,29.0,0.0,29.0,1.0,1.0,9.0,0.0,9.0,6.0,10.0,0.0,0.0,0.0,5.0,5.0,5.0,11.0,0.0,15.0,10.0,10.0,24.0,24.0,24.0,8.0,5.0,10.0,0.0,0.0,5.0,2.0,5.0,5.0,0.0,10.0,5.0,5.0,0.0,1.0,29.0,46.0,29.0,10.0,5.0,1.0,1.0,1.0,9.0,9.0,10.0,10.0,8.0,16.0,0.0,5.0,5.0,11.0,11.0,11.0,10.0,11.0,24.0,5.0,8.0,15.0,10.0,0.0,0.0,2.0,2.0,2.0,29.0,29.0,0.0,0.0,22.0,22.0,9.0,5.0,5.0,0.0,12.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,3.0,1.0,3.0,12.0,0.0,16.0,16.0,17.0,37.0,36.0,36.0,0.0,0.0,0.0,11.0,1.0,5.0,1.0,0.0,2.0,1.0,1.0,5.0,5.0,5.0,0.0,0.0,3.0,3.0,3.0,12.0,7.0,16.0,16.0,26.0,36.0,35.0,36.0,0.0,5.0,0.0,16.0,5.0,6.0,0.0,0.0,11.0,7.0,1.0,0.0,1.0,0.0,0.0,20.0,26.0,8.0,5.0,5.0,5.0,1.0,1.0,16.0,3.0,7.0,15.0,0.0,5.0,15.0,11.0,36.0,16.0,0.0,0.0,11.0,15.0,11.0,5.0,4.0,7.0,7.0,7.0,0.0,0.0,9.0,12.0,9.0,5.0,5.0,5.0,0.0,0.0,15.0,2.0,5.0,1.0,33.0,6.0,16.0,36.0,36.0,10.0,0.0,0.0,5.0,6.0,11.0,0.0,5.0,7.0,1.0,8.0,16.0,1.0,15.0,15.0,15.0,5.0,5.0,1.0,0.0,0.0,3.0,22.0,7.0
85,1.0,11.0,5.0,24.0,8.0,5.0,5.0,5.0,10.0,5.0,5.0,9.0,6.0,0.0,0.0,29.0,29.0,29.0,5.0,5.0,0.0,2.0,1.0,9.0,4.0,9.0,10.0,10.0,0.0,10.0,0.0,5.0,10.0,11.0,1.0,11.0,22.0,0.0,10.0,11.0,25.0,24.0,5.0,1.0,5.0,0.0,0.0,15.0,5.0,10.0,0.0,1.0,6.0,29.0,30.0,35.0,10.0,5.0,1.0,1.0,9.0,15.0,9.0,1.0,10.0,1.0,0.0,36.0,5.0,5.0,5.0,1.0,10.0,10.0,10.0,10.0,24.0,24.0,19.0,8.0,8.0,0.0,2.0,1.0,6.0,1.0,0.0,5.0,5.0,5.0,11.0,5.0,0.0,0.0,29.0,29.0,19.0,10.0,5.0,1.0,1.0,1.0,9.0,0.0,10.0,12.0,11.0,10.0,0.0,5.0,0.0,11.0,0.0,11.0,16.0,15.0,24.0,4.0,2.0,8.0,10.0,3.0,0.0,2.0,0.0,2.0,29.0,16.0,0.0,0.0,15.0,12.0,27.0,0.0,5.0,0.0,12.0,5.0,5.0,5.0,15.0,5.0,5.0,5.0,10.0,0.0,5.0,0.0,0.0,0.0,3.0,16.0,10.0,12.0,12.0,19.0,16.0,10.0,37.0,36.0,36.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,3.0,7.0,7.0,4.0,12.0,16.0,5.0,16.0,36.0,35.0,31.0,0.0,5.0,0.0,10.0,30.0,11.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,1.0,1.0,8.0,8.0,8.0,5.0,0.0,5.0,2.0,0.0,3.0,5.0,3.0,10.0,10.0,1.0,11.0,16.0,36.0,4.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,15.0,9.0,5.0,5.0,10.0,0.0,0.0,0.0,3.0,3.0,3.0,12.0,10.0,16.0,26.0,36.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,7.0,7.0,38.0,10.0,6.0,15.0,15.0,1.0,5.0,0.0,0.0,0.0,3.0,5.0,4.0
86,1.0,11.0,16.0,5.0,8.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,0.0,0.0,0.0,29.0,29.0,15.0,10.0,10.0,1.0,1.0,2.0,5.0,1.0,6.0,10.0,17.0,0.0,0.0,0.0,6.0,10.0,5.0,11.0,6.0,22.0,11.0,10.0,24.0,24.0,21.0,4.0,6.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,29.0,21.0,30.0,5.0,5.0,4.0,0.0,10.0,9.0,16.0,10.0,10.0,5.0,0.0,1.0,20.0,5.0,5.0,1.0,11.0,5.0,10.0,10.0,24.0,4.0,24.0,20.0,8.0,17.0,0.0,8.0,1.0,1.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,29.0,29.0,29.0,5.0,15.0,1.0,1.0,1.0,4.0,4.0,10.0,11.0,5.0,0.0,0.0,5.0,5.0,11.0,11.0,11.0,0.0,5.0,24.0,3.0,11.0,8.0,10.0,0.0,0.0,2.0,6.0,2.0,29.0,29.0,0.0,0.0,0.0,6.0,9.0,5.0,0.0,5.0,12.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,3.0,8.0,3.0,12.0,8.0,11.0,16.0,11.0,37.0,36.0,36.0,0.0,0.0,0.0,11.0,11.0,0.0,1.0,0.0,6.0,7.0,7.0,15.0,12.0,1.0,0.0,0.0,3.0,5.0,3.0,12.0,12.0,11.0,16.0,6.0,1.0,25.0,36.0,0.0,5.0,0.0,11.0,11.0,11.0,0.0,1.0,10.0,7.0,25.0,1.0,1.0,1.0,0.0,8.0,8.0,10.0,5.0,0.0,1.0,1.0,0.0,10.0,3.0,5.0,11.0,22.0,15.0,16.0,16.0,36.0,29.0,0.0,0.0,5.0,21.0,11.0,0.0,0.0,7.0,6.0,4.0,0.0,5.0,9.0,9.0,9.0,5.0,10.0,5.0,0.0,0.0,9.0,3.0,12.0,0.0,12.0,16.0,20.0,36.0,36.0,0.0,0.0,0.0,11.0,11.0,6.0,5.0,0.0,6.0,7.0,7.0,37.0,4.0,15.0,15.0,15.0,14.0,15.0,0.0,0.0,3.0,10.0,3.0,6.0
87,9.0,11.0,6.0,20.0,8.0,5.0,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,29.0,29.0,29.0,16.0,5.0,1.0,1.0,0.0,9.0,9.0,9.0,6.0,20.0,15.0,0.0,0.0,5.0,5.0,5.0,1.0,11.0,22.0,10.0,10.0,12.0,10.0,23.0,8.0,1.0,5.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,16.0,29.0,29.0,29.0,20.0,0.0,1.0,1.0,11.0,13.0,4.0,16.0,4.0,15.0,0.0,5.0,5.0,5.0,5.0,11.0,11.0,6.0,0.0,2.0,0.0,15.0,6.0,10.0,8.0,0.0,4.0,8.0,1.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,29.0,24.0,29.0,20.0,10.0,1.0,5.0,6.0,9.0,0.0,10.0,10.0,0.0,10.0,0.0,5.0,5.0,11.0,11.0,0.0,5.0,6.0,24.0,4.0,8.0,8.0,10.0,1.0,5.0,2.0,2.0,2.0,24.0,0.0,0.0,0.0,22.0,22.0,22.0,5.0,5.0,0.0,12.0,5.0,5.0,10.0,0.0,10.0,13.0,5.0,9.0,5.0,5.0,26.0,6.0,0.0,2.0,3.0,3.0,12.0,12.0,11.0,16.0,16.0,37.0,36.0,36.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,1.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,2.0,3.0,14.0,12.0,11.0,10.0,16.0,18.0,36.0,36.0,1.0,5.0,0.0,11.0,31.0,11.0,0.0,0.0,1.0,7.0,7.0,2.0,1.0,2.0,13.0,8.0,8.0,8.0,5.0,5.0,5.0,1.0,20.0,3.0,1.0,6.0,12.0,1.0,8.0,1.0,16.0,15.0,5.0,0.0,16.0,11.0,11.0,6.0,1.0,0.0,7.0,7.0,5.0,1.0,0.0,11.0,14.0,9.0,15.0,5.0,15.0,21.0,0.0,1.0,5.0,12.0,6.0,17.0,5.0,16.0,36.0,36.0,0.0,11.0,0.0,11.0,11.0,11.0,0.0,0.0,7.0,7.0,1.0,37.0,6.0,1.0,15.0,16.0,5.0,0.0,0.0,0.0,8.0,30.0,3.0,12.0
88,9.0,11.0,0.0,6.0,8.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,29.0,23.0,19.0,0.0,5.0,2.0,5.0,1.0,9.0,1.0,9.0,6.0,17.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,11.0,22.0,10.0,10.0,24.0,24.0,24.0,8.0,1.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,10.0,29.0,16.0,0.0,0.0,1.0,9.0,9.0,1.0,11.0,10.0,0.0,0.0,0.0,5.0,5.0,5.0,11.0,12.0,15.0,10.0,9.0,24.0,24.0,1.0,5.0,14.0,0.0,0.0,10.0,0.0,5.0,1.0,5.0,0.0,5.0,10.0,5.0,39.0,0.0,0.0,29.0,29.0,5.0,5.0,1.0,0.0,1.0,10.0,9.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,11.0,10.0,1.0,24.0,24.0,5.0,8.0,1.0,14.0,0.0,2.0,2.0,2.0,29.0,4.0,0.0,0.0,22.0,29.0,31.0,5.0,1.0,0.0,12.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,4.0,16.0,16.0,16.0,37.0,33.0,36.0,0.0,0.0,0.0,11.0,11.0,0.0,1.0,0.0,10.0,7.0,11.0,5.0,11.0,0.0,0.0,4.0,3.0,3.0,3.0,6.0,1.0,10.0,16.0,21.0,36.0,36.0,36.0,0.0,5.0,0.0,11.0,51.0,16.0,1.0,0.0,0.0,6.0,7.0,6.0,1.0,1.0,1.0,1.0,8.0,8.0,5.0,0.0,5.0,1.0,0.0,0.0,3.0,31.0,12.0,0.0,1.0,16.0,16.0,40.0,36.0,9.0,0.0,11.0,11.0,4.0,0.0,0.0,10.0,20.0,1.0,0.0,0.0,9.0,0.0,13.0,5.0,5.0,5.0,5.0,0.0,0.0,3.0,0.0,1.0,8.0,16.0,16.0,36.0,2.0,36.0,0.0,0.0,11.0,5.0,11.0,0.0,0.0,1.0,7.0,0.0,37.0,37.0,10.0,15.0,15.0,5.0,17.0,1.0,0.0,3.0,3.0,3.0,6.0
89,9.0,11.0,5.0,5.0,8.0,5.0,15.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,35.0,29.0,29.0,10.0,5.0,1.0,1.0,0.0,5.0,9.0,9.0,16.0,1.0,8.0,0.0,0.0,0.0,10.0,10.0,11.0,11.0,22.0,10.0,10.0,19.0,14.0,28.0,11.0,0.0,13.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,35.0,29.0,29.0,5.0,5.0,0.0,1.0,9.0,1.0,15.0,15.0,21.0,0.0,0.0,0.0,5.0,25.0,5.0,6.0,1.0,10.0,10.0,9.0,24.0,24.0,24.0,8.0,8.0,1.0,0.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,29.0,1.0,29.0,5.0,5.0,0.0,1.0,4.0,9.0,10.0,10.0,10.0,0.0,0.0,16.0,5.0,26.0,11.0,0.0,0.0,10.0,10.0,24.0,24.0,8.0,8.0,0.0,0.0,2.0,2.0,2.0,1.0,29.0,30.0,0.0,0.0,22.0,16.0,20.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,10.0,5.0,0.0,5.0,11.0,5.0,6.0,0.0,0.0,0.0,3.0,4.0,3.0,12.0,12.0,16.0,16.0,16.0,37.0,36.0,36.0,0.0,1.0,0.0,22.0,0.0,2.0,6.0,6.0,5.0,7.0,7.0,0.0,5.0,0.0,0.0,0.0,3.0,5.0,2.0,17.0,12.0,16.0,16.0,16.0,37.0,36.0,30.0,0.0,5.0,0.0,11.0,51.0,0.0,1.0,0.0,1.0,14.0,7.0,2.0,1.0,1.0,1.0,3.0,8.0,8.0,5.0,5.0,0.0,1.0,16.0,5.0,3.0,11.0,1.0,12.0,16.0,1.0,16.0,36.0,36.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,12.0,9.0,9.0,5.0,5.0,15.0,0.0,0.0,15.0,3.0,12.0,12.0,6.0,16.0,11.0,36.0,36.0,30.0,0.0,0.0,11.0,11.0,0.0,15.0,4.0,7.0,7.0,37.0,37.0,1.0,15.0,1.0,16.0,5.0,15.0,0.0,0.0,2.0,3.0,3.0,4.0
90,9.0,11.0,0.0,12.0,8.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,29.0,20.0,29.0,5.0,5.0,2.0,4.0,12.0,9.0,9.0,9.0,10.0,10.0,0.0,15.0,0.0,5.0,5.0,5.0,11.0,17.0,22.0,10.0,10.0,24.0,24.0,6.0,8.0,1.0,8.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,29.0,29.0,29.0,1.0,5.0,1.0,1.0,6.0,9.0,9.0,0.0,6.0,21.0,16.0,5.0,5.0,0.0,5.0,1.0,11.0,10.0,10.0,10.0,11.0,24.0,24.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,9.0,5.0,5.0,5.0,5.0,5.0,10.0,0.0,29.0,2.0,19.0,5.0,5.0,4.0,1.0,0.0,9.0,9.0,14.0,10.0,0.0,0.0,5.0,2.0,11.0,11.0,12.0,0.0,0.0,10.0,24.0,24.0,3.0,8.0,6.0,0.0,0.0,5.0,2.0,6.0,29.0,0.0,0.0,0.0,18.0,22.0,22.0,5.0,5.0,0.0,10.0,5.0,5.0,21.0,10.0,5.0,5.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,12.0,11.0,16.0,16.0,37.0,36.0,30.0,0.0,0.0,0.0,11.0,11.0,1.0,0.0,0.0,7.0,7.0,0.0,5.0,16.0,0.0,0.0,0.0,5.0,3.0,3.0,12.0,7.0,11.0,6.0,9.0,31.0,36.0,30.0,0.0,5.0,0.0,11.0,51.0,11.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,10.0,5.0,8.0,4.0,8.0,5.0,5.0,5.0,0.0,0.0,3.0,0.0,3.0,12.0,12.0,6.0,1.0,11.0,36.0,36.0,0.0,0.0,11.0,0.0,11.0,6.0,0.0,21.0,7.0,7.0,0.0,0.0,9.0,9.0,0.0,5.0,10.0,5.0,0.0,0.0,2.0,6.0,12.0,3.0,12.0,16.0,16.0,29.0,36.0,5.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,7.0,7.0,37.0,23.0,37.0,15.0,15.0,0.0,6.0,30.0,7.0,0.0,3.0,1.0,3.0,0.0
91,9.0,11.0,0.0,1.0,8.0,5.0,5.0,5.0,5.0,14.0,5.0,10.0,0.0,1.0,0.0,29.0,31.0,29.0,5.0,5.0,1.0,1.0,6.0,9.0,9.0,4.0,5.0,10.0,0.0,0.0,1.0,5.0,0.0,1.0,11.0,7.0,22.0,10.0,5.0,24.0,29.0,19.0,8.0,1.0,8.0,0.0,0.0,5.0,0.0,15.0,15.0,0.0,0.0,29.0,29.0,20.0,5.0,19.0,1.0,1.0,0.0,9.0,25.0,10.0,15.0,16.0,15.0,0.0,5.0,4.0,5.0,11.0,1.0,10.0,10.0,10.0,24.0,24.0,24.0,15.0,8.0,0.0,0.0,8.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,29.0,29.0,5.0,21.0,1.0,1.0,11.0,6.0,1.0,10.0,10.0,5.0,0.0,0.0,5.0,15.0,2.0,11.0,11.0,6.0,5.0,24.0,24.0,8.0,2.0,4.0,30.0,3.0,7.0,0.0,10.0,2.0,34.0,1.0,0.0,0.0,1.0,22.0,5.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,0.0,3.0,26.0,3.0,12.0,12.0,5.0,30.0,16.0,37.0,36.0,4.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,1.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,7.0,12.0,16.0,16.0,16.0,30.0,36.0,36.0,0.0,0.0,0.0,11.0,51.0,11.0,4.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,1.0,8.0,13.0,8.0,15.0,0.0,5.0,1.0,0.0,11.0,3.0,1.0,12.0,12.0,16.0,16.0,16.0,39.0,21.0,1.0,1.0,11.0,10.0,11.0,41.0,5.0,0.0,7.0,7.0,0.0,11.0,13.0,1.0,9.0,0.0,5.0,5.0,0.0,0.0,4.0,3.0,12.0,12.0,10.0,19.0,16.0,36.0,36.0,6.0,0.0,0.0,11.0,0.0,11.0,0.0,38.0,9.0,10.0,37.0,37.0,0.0,15.0,15.0,15.0,5.0,5.0,0.0,33.0,3.0,4.0,3.0,10.0
92,9.0,11.0,5.0,5.0,8.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,14.0,29.0,16.0,10.0,10.0,1.0,2.0,2.0,1.0,5.0,0.0,4.0,5.0,0.0,5.0,0.0,10.0,10.0,5.0,11.0,11.0,10.0,6.0,10.0,24.0,24.0,24.0,0.0,1.0,9.0,0.0,1.0,5.0,5.0,5.0,1.0,0.0,0.0,24.0,29.0,5.0,5.0,5.0,1.0,4.0,9.0,9.0,10.0,10.0,10.0,0.0,5.0,6.0,1.0,5.0,5.0,6.0,11.0,5.0,10.0,5.0,24.0,24.0,25.0,8.0,8.0,0.0,2.0,8.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,29.0,29.0,29.0,1.0,5.0,1.0,1.0,0.0,5.0,10.0,10.0,10.0,6.0,0.0,15.0,0.0,5.0,0.0,16.0,6.0,10.0,6.0,0.0,24.0,8.0,8.0,5.0,2.0,5.0,15.0,5.0,1.0,29.0,29.0,0.0,0.0,21.0,18.0,22.0,16.0,5.0,0.0,5.0,5.0,5.0,1.0,0.0,5.0,5.0,10.0,5.0,5.0,5.0,1.0,0.0,1.0,4.0,3.0,3.0,7.0,12.0,16.0,11.0,11.0,37.0,36.0,36.0,0.0,0.0,0.0,11.0,11.0,1.0,0.0,1.0,7.0,7.0,7.0,10.0,6.0,0.0,0.0,0.0,8.0,6.0,24.0,5.0,12.0,16.0,3.0,5.0,35.0,9.0,18.0,0.0,0.0,0.0,7.0,51.0,11.0,0.0,0.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,18.0,0.0,26.0,5.0,5.0,5.0,1.0,0.0,15.0,5.0,3.0,12.0,7.0,16.0,16.0,5.0,27.0,36.0,0.0,16.0,6.0,11.0,11.0,4.0,0.0,7.0,7.0,7.0,0.0,1.0,0.0,3.0,19.0,5.0,5.0,0.0,0.0,8.0,0.0,3.0,12.0,6.0,12.0,0.0,16.0,36.0,1.0,26.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,1.0,15.0,0.0,15.0,5.0,0.0,0.0,24.0,3.0,8.0,0.0
93,9.0,11.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,29.0,29.0,5.0,5.0,5.0,2.0,2.0,2.0,21.0,0.0,9.0,10.0,11.0,0.0,10.0,4.0,4.0,5.0,5.0,6.0,6.0,10.0,10.0,10.0,24.0,5.0,24.0,8.0,1.0,8.0,7.0,0.0,9.0,5.0,5.0,0.0,6.0,16.0,29.0,29.0,24.0,5.0,31.0,1.0,1.0,9.0,9.0,6.0,10.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,11.0,11.0,10.0,10.0,5.0,24.0,24.0,0.0,8.0,8.0,25.0,0.0,8.0,7.0,1.0,5.0,5.0,11.0,5.0,5.0,5.0,0.0,0.0,29.0,10.0,29.0,5.0,5.0,4.0,16.0,1.0,10.0,9.0,16.0,1.0,5.0,4.0,0.0,0.0,5.0,11.0,11.0,11.0,0.0,15.0,24.0,24.0,8.0,8.0,10.0,9.0,0.0,5.0,2.0,39.0,29.0,30.0,0.0,0.0,22.0,0.0,22.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,10.0,14.0,6.0,16.0,16.0,16.0,37.0,36.0,18.0,0.0,0.0,1.0,11.0,11.0,0.0,0.0,6.0,6.0,7.0,0.0,5.0,5.0,1.0,0.0,0.0,3.0,3.0,3.0,12.0,12.0,16.0,16.0,16.0,36.0,36.0,36.0,6.0,0.0,0.0,11.0,51.0,6.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,1.0,8.0,8.0,8.0,5.0,5.0,19.0,1.0,0.0,3.0,0.0,16.0,5.0,12.0,16.0,16.0,16.0,36.0,36.0,0.0,0.0,6.0,11.0,11.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,9.0,9.0,13.0,5.0,5.0,5.0,0.0,0.0,3.0,11.0,1.0,12.0,12.0,16.0,1.0,1.0,36.0,36.0,0.0,0.0,11.0,11.0,25.0,0.0,0.0,7.0,7.0,37.0,37.0,29.0,10.0,15.0,15.0,5.0,10.0,0.0,0.0,3.0,15.0,4.0,15.0
